Band_ID,Adult_Color,HY_Color,Sex,Birth_Year,Known_Age,Banding_Age,Mother_ID,Father_ID,Banding_Date,Natal_NestKey,Last_Yr_Seen
1560.0305,,,M,1986,False,AHY,,,06/20/87,,1987
1560.03051,,,U,1987,True,N,940.25395,940.25778,06/19/87,87-M30.4,1987
1560.03052,,,U,1987,True,N,940.25395,940.25778,06/19/87,87-M30.4,1987
1560.03053,,,U,1987,True,N,940.25395,940.25778,06/19/87,87-M30.4,1987
1560.03054,,,U,1987,True,N,940.25395,940.25778,06/19/87,87-M30.4,1987
1560.03055,,,U,1987,True,N,940.25395,940.25778,06/19/87,87-M30.4,1987
1560.03056,,,U,1987,True,N,940.25395,940.25778,06/19/87,87-M30.4,1987
1560.03057,,,F,1986,True,SY,,,06/20/87,,1987
1560.03058,,,M,1986,False,AHY,,,06/20/87,,1988
1560.03059,,,M,1986,False,AHY,,,06/01/89,,1991
1560.0306,,,M,1986,False,AHY,,,06/20/87,,1987
1560.03061,,,F,1985,False,AHY,,,06/20/87,,1987
1560.03062,,,M,1986,False,AHY,,,06/20/87,,2011
1560.03063,,,M,1986,False,AHY,,,06/20/87,,1987
1560.03064,,,M,1986,False,AHY,,,06/20/87,,1987
1560.03065,,,F,1985,False,AHY,,,06/01/89,,1991
1560.03066,,,U,1987,True,N,940.25394,940.25776,06/22/87,87-M27.2,1987
1560.03067,,,U,1987,True,N,940.25394,940.25776,06/22/87,87-M27.2,1987
1560.03068,,,U,1987,True,N,940.25394,940.25776,06/22/87,87-M27.2,1987
1560.03069,,,U,1987,True,N,940.25394,940.25776,06/22/87,87-M27.2,1987
1560.0307,,,U,1987,True,N,940.25394,940.25776,06/22/87,87-M27.2,1987
1560.03071,,,U,1987,True,N,940.25394,940.25776,06/22/87,87-M27.2,1987
1560.03072,,,M,1986,False,AHY,,,06/20/87,,1987
1560.03073,,,U,1987,True,N,940.25737,970.12169,06/23/87,87-L28.1,1987
1560.03074,,,U,1987,True,N,940.25737,970.12169,06/23/87,87-L28.1,1987
1560.03075,,,U,1987,True,N,940.25737,970.12169,06/23/87,87-L28.1,1987
1560.03076,,,U,1987,True,N,940.25737,970.12169,06/23/87,87-L28.1,1987
1560.03077,,,U,1987,True,N,940.25737,970.12169,06/23/87,87-L28.1,1987
1560.03078,,,U,1987,True,N,940.25737,970.12169,06/23/87,87-L28.1,1987
1560.03079,,,U,1987,True,N,940.25355,940.25114,06/23/87,87-N28.3,1987
1560.0308,,,M,1987,True,N,940.25355,940.25114,06/23/87,87-N28.3,1989
1560.03081,,,U,1987,True,N,940.25355,940.25114,06/23/87,87-N28.3,1987
1560.03082,,,U,1987,True,N,940.25355,940.25114,06/23/87,87-N28.3,1987
1560.03083,,,U,1987,True,N,940.25355,940.25114,06/23/87,87-N28.3,1987
1560.03084,,,U,1987,True,N,940.25351,,06/23/87,87-M26.5,1987
1560.03085,,,U,1987,True,N,940.25351,,06/23/87,87-M26.5,1987
1560.03086,,,U,1987,True,N,940.25351,,06/23/87,87-M26.5,1987
1560.03087,,,U,1987,True,N,940.25351,,06/23/87,87-M26.5,1987
