Nest_Key,Year,Nest_ID,Eggs_Laid,Female_ID,Male_ID,J_Found_Date,Hatch_Date,J_Hatch_Date,Eggs_Hatched,Fledglings,Known_Hatch,Study_Site,Fate
87-L18.1,1987,L18.1,6,940.25036,940.25169,6,6/14/87,165,6,6,FALSE,N,F
87-L19.1,1987,L19.1,7,940.25352,940.25248,7,6/14/87,165,7,7,FALSE,N,F
87-L19.2,1987,L19.2,6,940.25206,,6,6/17/87,168,6,2,FALSE,N,F
87-L20.1,1987,L20.1,5,940.25074,1560.0305,5,6/12/87,163,5,2,FALSE,N,F
87-L27.2,1987,L27.2,6,940.254,1560.04517,6,6/17/87,168,6,6,FALSE,S,F
87-L27.3,1987,L27.3,6,940.25396,1560.04301,6,6/14/87,165,6,4,FALSE,S,F
87-L28.1,1987,L28.1,6,940.25737,970.12169,6,6/12/87,163,6,6,FALSE,S,F
87-M18.1,1987,M18.1,7,940.25742,940.2517,7,6/14/87,165,7,2,FALSE,N,F
87-M19.1,1987,M19.1,7,940.25017,940.25173,7,6/15/87,166,7,7,FALSE,N,F
87-M19.3,1987,M19.3,6,940.25018,,6,6/14/87,165,6,0,FALSE,N,AN
87-M19.4,1987,M19.4,5,940.25345,,5,6/20/87,171,5,5,FALSE,N,F
87-M20.1,1987,M20.1,6,940.25759,940.25172,6,6/15/87,166,6,6,FALSE,N,F
87-M20.2,1987,M20.2,7,940.25343,940.2571,7,6/15/87,166,7,4,FALSE,N,F
87-M20.3,1987,M20.3,7,940.25071,1560.03065,7,6/14/87,165,7,5,FALSE,N,F
87-M20.4,1987,M20.4,6,940.25387,,6,6/17/87,168,6,2,FALSE,N,F
87-M20.5,1987,M20.5,6,940.25072,940.25171,6,6/14/87,165,6,4,FALSE,N,F
87-M21.1,1987,M21.1,5,940.25344,1560.03064,5,6/14/87,165,5,5,FALSE,N,F
87-M21.2,1987,M21.2,5,940.25073,1560.04538,5,6/21/87,172,5,4,FALSE,N,F
87-M21.4,1987,M21.4,5,940.25775,1560.04537,5,6/20/87,171,5,5,FALSE,N,F
87-M21.6,1987,M21.6,4,940.25746,940.25175,4,6/15/87,166,4,4,FALSE,N,F
87-M24.1,1987,M24.1,6,940.25752,,6,6/17/87,168,6,6,FALSE,S,F
87-M25.0,1987,M25.0,6,940.25769,,6,6/16/87,167,6,2,FALSE,S,F
87-M25.1,1987,M25.1,6,940.25753,1560.04305,6,6/16/87,167,6,6,FALSE,S,F
87-M25.2,1987,M25.2,4,940.25037,1560.04536,4,6/23/87,174,4,0,FALSE,S,AN
87-M25.3,1987,M25.3,7,940.25754,940.25714,7,6/16/87,167,7,7,FALSE,S,F
87-M25.4,1987,M25.4,5,940.25673,940.25711,5,6/18/87,169,5,5,FALSE,S,F
87-M26.1,1987,M26.1,6,940.25718,940.25715,6,6/16/87,167,6,3,FALSE,S,F
87-M26.3,1987,M26.3,7,940.25735,940.25267,7,6/13/87,164,7,6,FALSE,S,F
87-M26.4,1987,M26.4,5,940.25747,1560.04302,5,6/14/87,165,5,4,FALSE,S,F
87-M26.5,1987,M26.5,4,940.25351,,4,6/12/87,163,4,4,FALSE,S,F
87-M26.6,1987,M26.6,6,940.25024,,6,6/17/87,168,6,6,FALSE,S,F
87-M26.7,1987,M26.7,5,940.25029,940.25518,5,6/18/87,169,5,4,FALSE,S,F
87-M27.1,1987,M27.1,5,940.25739,1560.04306,5,6/15/87,166,5,5,FALSE,S,F
87-M27.2,1987,M27.2,6,940.25394,940.25776,6,6/11/87,162,6,6,FALSE,S,F
87-M27.3,1987,M27.3,7,940.25392,1560.04308,7,6/16/87,167,7,5,FALSE,S,F
87-M28.1,1987,M28.1,6,940.25738,,6,6/14/87,165,6,1,FALSE,S,F
87-M28.2,1987,M28.2,5,940.25388,1560.04303,5,6/14/87,165,5,5,FALSE,S,F
87-M28.3,1987,M28.3,6,940.25362,,6,6/17/87,168,6,5,FALSE,S,F
87-M29.1,1987,M29.1,6,940.25723,,6,6/20/87,171,6,6,FALSE,S,F
87-M29.2,1987,M29.2,6,1560.04307,,6,6/16/87,167,6,6,FALSE,S,F
87-M30.2,1987,M30.2,7,940.25741,1560.03063,7,6/14/87,165,7,7,FALSE,S,F
87-M30.4,1987,M30.4,6,940.25395,940.25778,6,6/10/87,161,6,6,FALSE,S,F
87-M31.0,1987,M31.0,6,940.25773,,6,6/24/87,175,6,2,FALSE,S,F
87-M31.2,1987,M31.2,7,940.25771,,7,6/18/87,169,7,5,FALSE,S,F
87-M31.4,1987,M31.4,6,,,6,6/18/87,169,6,0,FALSE,S,AN
87-N18.1,1987,N18.1,6,940.2576,940.25174,6,6/15/87,166,6,6,FALSE,N,F
